cnn,standard,test,0.8641304347826086,0.8011471669413106
cnn,minmax,test,0.02717391304347826,0.0014377731769036116
cnn,robust,test,0.8532608695652174,0.8100155279503106
cnn,normalize,test,0.8695652173913043,0.8130005720823799
lstm,standard,test,0.8369565217391305,0.7874324671983536
lstm,minmax,test,0.8641304347826086,0.8011471669413106
lstm,robust,test,0.842391304347826,0.8014010972803964
lstm,normalize,test,0.7663043478260869,0.7665361331019009
resnet,standard,test,0.8695652173913043,0.8130005720823799
resnet,minmax,test,0.8641304347826086,0.8011471669413106
resnet,robust,test,0.8315217391304348,0.8271739130434782
resnet,normalize,test,0.8641304347826086,0.8011471669413106
